Run_nr,Time (H:M:S),Alpha (degrees),Delta_Pb (Pa),P_bar (Pa),T (C),rpm (1/min),rho (kg/m^3),P001 (Pa),P002 (Pa),P003 (Pa),P004 (Pa),P005 (Pa),P006 (Pa),P007 (Pa),P008 (Pa),P009 (Pa),P010 (Pa),P011 (Pa),P012 (Pa),P013 (Pa),P014 (Pa),P015 (Pa),P016 (Pa),P017 (Pa),P018 (Pa),P019 (Pa),P020 (Pa),P021 (Pa),P022 (Pa),P023 (Pa),P024 (Pa),P025 (Pa),P026 (Pa),P027 (Pa),P028 (Pa),P029 (Pa),P030 (Pa),P031 (Pa),P032 (Pa),P033 (Pa),P034 (Pa),P035 (Pa),P036 (Pa),P037 (Pa),P038 (Pa),P039 (Pa),P040 (Pa),P041 (Pa),P042 (Pa),P043 (Pa),P044 (Pa),P045 (Pa),P046 (Pa),P047 (Pa),P048 (Pa),P049 (Pa),P050 (Pa),P051 (Pa),P052 (Pa),P053 (Pa),P054 (Pa),P055 (Pa),P056 (Pa),P057 (Pa),P058 (Pa),P059 (Pa),P060 (Pa),P061 (Pa),P062 (Pa),P063 (Pa),P064 (Pa),P065 (Pa),P066 (Pa),P067 (Pa),P068 (Pa),P069 (Pa),P070 (Pa),P071 (Pa),P072 (Pa),P073 (Pa),P074 (Pa),P075 (Pa),P076 (Pa),P077 (Pa),P078 (Pa),P079 (Pa),P080 (Pa),P081 (Pa),P082 (Pa),P083 (Pa),P084 (Pa),P085 (Pa),P086 (Pa),P087 (Pa),P088 (Pa),P089 (Pa),P090 (Pa),P091 (Pa),P092 (Pa),P093 (Pa),P094 (Pa),P095 (Pa),P096 (Pa),P097 (Pa),P098 (Pa),P099 (Pa),P100 (Pa),P101 (Pa),P102 (Pa),P103 (Pa),P104 (Pa),P105 (Pa),P106 (Pa),P107 (Pa),P108 (Pa),P109 (Pa),P110 (Pa),P111 (Pa),P112 (Pa),P113 (Pa)
1,12:12:39,-3.000,192.21,101408,22.60,1049.92,1.194,112.36,321.70,311.09,152.99,38.34,-9.26,-34.32,-66.88,-79.50,-84.75,-79.19,-92.99,-94.69,-88.81,-79.86,-71.07,-59.83,-49.40,-39.72,-30.89,-25.59,-18.32,21.54,46.56,28.10,111.12,-513.91,-388.31,-281.80,-216.02,-177.10,-152.79,-131.59,-118.84,-107.60,-97.73,-88.76,-78.23,-67.66,-58.04,-50.77,-42.93,-34.47,-24.57,-14.16,-1.70,11.22,25.22,28.10,403.53,401.69,403.39,404.42,403.13,402.02,404.02,402.24,403.79,403.57,403.01,403.28,404.38,403.43,403.25,403.93,403.67,404.13,403.91,403.48,400.03,382.30,350.28,335.88,347.13,377.86,395.98,400.01,401.04,403.79,402.69,403.44,403.19,402.65,402.85,402.05,402.72,403.51,402.42,403.65,403.09,402.97,402.79,402.25,403.32,402.90,403.77,402.22,20.27,19.04,20.36,19.95,19.76,21.35,21.26,21.30,22.07,21.24,21.28,17.57,-0.04,0.10,0.15,0.25
2,12:13:07,-2.000,189.81,101401,22.69,1049.94,1.194,236.95,309.18,267.04,106.41,2.75,-43.99,-63.77,-89.82,-100.20,-103.33,-95.58,-107.59,-106.87,-98.69,-88.72,-79.44,-66.79,-56.94,-48.08,-40.86,-34.84,-13.53,29.94,46.96,21.70,236.47,-304.37,-275.65,-214.84,-169.74,-142.63,-121.88,-107.68,-97.73,-89.15,-81.35,-74.39,-68.11,-61.85,-55.81,-49.60,-43.18,-36.40,-29.34,-23.09,-15.30,0.67,26.77,21.70,401.30,399.40,400.91,402.12,401.12,399.51,401.73,399.91,401.68,401.21,400.71,400.88,401.96,401.05,400.92,401.53,401.46,401.59,401.60,401.01,400.78,397.47,383.40,360.72,344.65,356.79,376.08,389.70,396.96,401.60,400.29,401.06,401.29,402.97,400.98,400.27,401.03,401.51,400.53,401.64,401.12,400.79,400.94,400.17,401.58,400.86,401.72,400.62,20.26,19.58,20.89,20.40,20.12,21.00,21.69,21.54,22.25,21.36,21.34,18.28,0.30,0.10,0.17,0.23
3,12:13:33,-1.000,192.11,101397,22.75,1049.94,1.194,332.96,285.28,215.42,56.01,-37.75,-78.96,-93.33,-114.17,-122.64,-123.27,-113.48,-122.86,-120.06,-109.66,-99.57,-89.06,-75.64,-66.04,-57.30,-51.36,-41.00,10.40,30.03,44.60,27.22,333.08,-115.89,-168.21,-146.66,-123.76,-107.44,-93.77,-83.79,-76.82,-70.65,-64.68,-59.40,-54.75,-49.27,-44.28,-38.86,-32.80,-26.10,-19.04,-13.05,-6.57,-1.45,5.64,27.22,404.10,402.39,404.05,405.28,404.27,402.71,404.61,402.81,404.31,404.28,403.44,403.95,405.06,403.96,403.78,404.47,404.33,404.65,404.45,403.19,399.01,386.11,363.19,352.81,358.84,380.18,394.59,399.60,401.44,404.25,403.19,403.99,403.98,405.87,403.85,403.21,403.79,404.43,403.41,404.67,404.21,403.81,403.75,403.33,404.04,403.78,404.85,403.54,20.39,20.68,21.98,21.35,20.96,22.32,18.87,22.40,22.53,21.55,21.52,19.52,1.26,0.13,0.24,0.28
4,12:13:58,0.000,191.49,101395,22.83,1049.78,1.193,389.65,238.57,152.04,-3.73,-86.84,-118.27,-126.60,-144.28,-147.29,-147.68,-133.47,-140.67,-136.45,-125.79,-112.16,-101.23,-87.29,-77.84,-70.20,-64.30,-24.85,12.11,27.14,42.29,42.18,387.48,44.99,-67.78,-84.16,-82.01,-75.03,-68.38,-61.31,-57.22,-53.57,-49.62,-46.04,-42.76,-38.47,-34.56,-29.99,-24.61,-18.21,-11.00,-4.42,2.70,8.00,12.24,42.18,407.39,405.72,407.42,408.72,407.72,405.99,408.06,406.10,407.61,407.76,407.09,407.28,408.63,407.18,407.13,407.92,407.54,408.03,407.72,405.83,401.42,390.04,370.49,361.61,362.10,376.94,390.48,398.21,403.68,406.87,406.60,407.27,406.78,407.30,406.60,405.91,406.42,407.47,406.31,407.38,406.72,406.55,406.62,406.06,406.71,406.51,407.70,406.19,19.88,20.99,22.23,21.50,20.92,22.18,15.69,22.12,22.29,21.16,21.09,19.94,0.03,0.12,0.20,0.24
5,12:14:20,1.000,187.97,101400,22.89,1049.94,1.193,395.43,158.53,61.06,-77.47,-142.14,-165.29,-165.69,-175.69,-176.09,-171.30,-155.67,-159.74,-152.81,-142.12,-127.09,-115.14,-102.07,-94.58,-87.48,-74.20,-16.27,1.87,15.92,30.88,45.52,393.32,198.25,43.81,-9.32,-27.05,-32.36,-31.06,-29.88,-28.77,-27.74,-26.14,-24.24,-22.56,-19.66,-16.78,-13.41,-8.92,-3.30,3.48,9.89,16.98,22.40,26.35,45.52,400.77,399.11,400.55,401.80,400.82,399.32,401.34,399.52,400.88,400.86,400.35,400.56,401.59,400.47,400.55,401.15,401.07,401.38,400.38,395.28,377.09,354.92,344.73,357.78,374.41,393.67,398.97,398.01,398.34,400.73,400.04,400.81,399.93,401.74,399.64,398.79,399.46,400.21,399.07,400.30,399.78,399.31,399.49,399.22,399.88,399.51,400.29,398.71,19.25,22.16,23.31,22.33,21.36,22.84,21.18,22.27,21.94,20.61,20.58,21.49,0.33,0.13,0.21,0.28
6,12:14:47,2.000,189.97,101401,22.96,1050.08,1.193,384.38,74.23,-29.13,-149.56,-194.90,-206.84,-201.45,-204.17,-203.11,-194.52,-176.40,-177.13,-169.09,-156.98,-140.67,-128.27,-115.79,-109.74,-104.18,-42.56,-19.09,-3.23,11.69,29.70,47.63,382.70,294.92,126.94,47.19,13.18,1.21,-4.03,-6.77,-8.40,-9.71,-9.86,-9.63,-9.48,-7.99,-6.28,-3.98,-0.58,4.12,10.24,16.42,24.02,30.50,36.06,47.63,402.18,400.39,401.96,403.23,402.29,400.46,402.70,400.80,402.10,402.14,401.49,401.74,402.79,401.81,401.68,402.35,402.29,402.63,402.30,401.80,397.38,374.10,344.79,343.67,360.45,388.29,399.26,399.23,399.52,401.77,401.04,401.82,401.32,401.16,401.11,400.44,400.97,401.60,400.59,401.71,401.35,400.77,400.94,400.80,401.29,400.94,401.73,400.57,18.73,22.54,23.64,22.46,21.39,22.62,22.66,21.89,21.60,20.10,20.08,22.00,0.45,0.13,0.20,0.23
7,12:15:13,3.000,189.89,101402,23.02,1049.33,1.193,314.13,-28.93,-126.28,-221.82,-249.17,-250.77,-236.96,-237.66,-230.26,-216.88,-197.00,-197.28,-185.99,-171.69,-156.08,-144.28,-133.84,-127.76,-83.75,-41.59,-28.25,-9.68,7.64,27.23,51.23,312.91,353.51,196.53,96.44,48.98,28.86,18.76,13.03,9.00,5.55,3.46,2.09,0.90,1.04,1.42,2.55,4.73,8.26,13.31,18.56,25.73,32.47,39.13,51.23,400.74,399.13,400.72,401.84,400.80,399.27,401.31,399.60,400.85,401.00,400.62,400.58,401.53,400.67,400.58,401.15,401.11,401.39,401.10,400.87,401.09,393.30,363.62,338.95,342.71,372.20,392.24,397.43,398.60,400.73,400.01,400.87,400.66,400.61,400.38,399.47,400.14,400.98,399.87,400.97,400.57,400.21,400.12,400.21,400.84,400.31,400.95,400.19,17.16,21.86,22.95,21.62,20.44,21.16,21.85,20.66,20.28,18.68,18.61,21.47,-0.80,0.08,0.18,0.21
8,12:15:34,4.000,193.15,101402,23.04,1050.46,1.193,178.53,-149.52,-235.14,-303.51,-311.26,-299.21,-278.95,-271.01,-258.44,-243.84,-219.88,-217.71,-205.20,-189.60,-172.64,-162.45,-155.06,-122.56,-65.30,-51.54,-35.20,-13.85,5.40,26.20,52.54,175.99,388.60,260.66,145.31,87.68,59.23,44.86,35.49,29.13,23.28,19.38,16.49,14.01,12.76,11.82,11.89,12.89,15.32,19.38,23.68,30.07,36.41,43.24,52.54,406.02,404.31,406.11,407.37,406.28,404.60,406.53,404.85,406.18,406.39,405.76,405.99,406.87,405.84,405.77,406.41,406.23,406.56,406.44,405.96,406.16,396.47,363.98,339.70,346.89,379.52,399.77,403.27,403.65,405.60,405.16,406.55,405.83,405.68,405.77,404.75,405.29,406.07,405.31,406.15,405.79,405.53,405.34,405.48,406.44,405.57,406.64,406.12,16.44,22.24,23.29,21.78,20.40,20.92,21.73,20.36,19.87,18.08,18.01,22.01,-1.21,0.08,0.20,0.22
9,12:16:00,5.000,191.84,101403,23.09,1049.60,1.192,-34.49,-284.41,-353.38,-386.71,-368.70,-342.84,-314.58,-300.98,-285.94,-267.15,-239.58,-235.87,-222.92,-205.92,-190.58,-181.61,-149.68,-96.53,-74.80,-59.69,-41.07,-17.72,3.20,24.72,50.88,-33.68,390.85,309.78,190.79,123.13,89.43,69.21,57.67,49.01,41.19,35.59,31.20,27.25,24.84,22.79,21.66,21.59,23.11,26.06,29.34,34.83,40.48,46.85,50.88,404.76,403.02,404.83,405.91,404.76,403.15,405.36,404.04,404.92,405.07,404.31,404.70,405.39,404.58,404.46,405.18,404.95,405.27,405.01,404.71,405.26,403.54,386.37,350.52,333.18,357.80,386.33,400.08,402.19,404.36,404.05,405.43,404.04,403.22,403.86,402.93,403.43,404.21,403.43,404.32,403.94,403.64,403.46,403.61,404.74,403.74,404.70,404.06,16.01,22.72,23.74,22.13,20.57,20.86,22.23,20.30,19.66,17.71,17.69,22.67,-1.55,0.07,0.15,0.21
10,12:16:24,6.000,192.23,101406,23.14,1050.38,1.192,-309.11,-435.16,-477.19,-472.03,-429.38,-388.34,-350.83,-332.37,-312.94,-290.66,-261.36,-255.64,-241.19,-224.31,-204.59,-159.69,-126.92,-107.53,-86.56,-65.72,-44.98,-20.57,0.99,22.75,48.40,-309.28,377.18,348.65,229.97,155.19,116.54,93.66,78.94,68.33,58.65,51.43,45.66,40.42,36.78,33.73,31.50,30.46,30.91,32.88,35.18,39.66,44.55,50.11,48.40,402.79,401.23,402.82,404.02,402.73,401.27,403.62,402.38,403.08,403.16,402.52,403.31,403.69,402.68,402.76,403.30,403.18,403.39,402.97,402.69,403.47,402.61,393.02,358.26,325.37,341.32,377.96,398.24,400.56,402.79,402.83,403.65,402.92,401.49,402.63,401.75,402.10,403.04,402.10,402.99,402.73,402.22,402.05,402.28,403.44,402.39,403.36,402.98,15.59,23.27,24.24,22.48,20.79,20.95,22.59,20.16,19.51,17.32,17.34,23.40,-1.47,0.07,0.16,0.20
11,12:16:43,7.000,192.92,101400,23.18,1049.82,1.192,-640.32,-596.88,-616.59,-564.64,-494.41,-437.71,-393.53,-367.46,-344.33,-319.02,-288.45,-274.20,-247.86,-216.25,-190.33,-168.88,-143.75,-119.49,-94.81,-71.89,-48.45,-24.16,-1.54,20.32,45.21,-641.04,343.17,377.89,266.46,187.77,142.96,115.99,99.36,86.72,75.44,66.47,59.32,52.96,47.97,43.95,40.68,38.44,37.97,39.00,40.48,44.03,47.99,53.10,45.21,405.51,403.85,405.52,406.70,405.58,403.93,406.21,405.00,405.66,405.78,405.09,406.18,406.31,405.47,405.36,405.84,405.73,406.30,405.56,405.38,405.40,392.61,354.62,323.82,331.84,376.25,401.09,403.67,403.15,405.17,405.39,406.19,405.56,405.66,405.28,404.45,404.74,405.61,404.89,405.67,405.32,404.80,404.66,404.96,406.06,404.86,406.09,405.42,14.79,23.56,24.49,22.64,20.76,20.65,21.95,19.95,18.93,16.56,16.62,23.89,-1.79,0.10,0.18,0.21
12,12:17:10,8.000,190.27,101401,23.22,1049.71,1.192,-1011.33,-758.58,-753.22,-649.71,-553.66,-485.15,-432.54,-402.90,-365.31,-327.14,-287.30,-272.68,-252.22,-230.30,-203.88,-177.74,-151.01,-124.35,-98.06,-74.50,-49.81,-26.46,-3.77,17.61,41.25,-1014.30,279.71,390.96,295.00,214.37,165.32,136.55,117.72,103.57,90.60,80.26,72.01,64.38,58.47,53.38,49.22,46.20,44.67,44.66,45.16,47.86,50.80,55.00,41.25,402.30,400.96,402.59,403.64,402.25,401.11,403.13,402.16,402.81,402.79,402.11,403.07,403.35,402.70,402.34,402.97,402.93,403.84,402.72,402.34,402.89,395.06,364.69,325.30,312.01,348.19,385.87,399.25,400.25,402.37,402.60,403.31,402.35,402.56,402.11,401.39,401.44,402.54,402.02,402.69,402.34,401.68,401.65,401.87,403.07,401.83,402.81,402.18,14.18,23.78,24.63,22.74,20.68,19.92,21.58,19.50,18.57,15.98,16.08,24.19,-2.10,0.11,0.15,0.20
13,12:17:31,9.000,193.03,101400,23.25,1050.45,1.192,-1431.17,-924.55,-911.59,-748.80,-628.84,-547.84,-456.73,-407.53,-376.03,-345.69,-308.68,-293.33,-269.36,-243.92,-212.44,-185.93,-155.95,-127.96,-100.81,-76.39,-50.71,-27.66,-5.44,13.97,37.84,-1433.05,202.92,401.30,323.22,241.29,191.79,157.88,137.33,121.45,106.87,95.23,85.54,76.84,69.77,63.68,58.32,54.37,51.78,50.86,50.34,52.12,54.05,57.25,37.84,407.11,405.68,407.37,408.66,406.93,405.67,407.80,406.60,407.42,407.60,406.86,407.60,407.91,407.78,406.82,407.68,407.58,408.53,407.28,406.62,397.07,365.10,325.08,312.64,332.44,377.78,402.07,405.30,404.95,406.77,407.24,407.91,407.46,407.87,407.19,406.14,406.36,407.48,407.20,407.55,407.70,406.80,406.43,406.85,407.93,406.59,408.15,407.11,13.98,24.74,25.47,23.46,21.23,19.90,21.05,19.88,18.66,15.87,15.97,25.24,-1.64,0.12,0.19,0.20
14,12:17:51,10.000,190.24,101397,23.30,1049.98,1.192,-1707.39,-1007.63,-1089.94,-772.90,-637.48,-547.08,-478.36,-432.02,-392.89,-356.44,-314.94,-295.61,-267.97,-240.85,-208.83,-178.99,-149.75,-121.19,-94.26,-69.99,-47.00,-27.72,-10.23,3.68,24.66,-1710.60,123.35,397.06,338.79,259.49,208.01,173.64,151.35,134.50,118.76,105.96,95.33,85.49,77.63,70.56,64.27,59.32,55.77,53.73,52.15,52.60,53.10,54.88,24.66,402.62,401.41,402.89,404.09,402.49,401.39,403.43,402.41,403.18,403.22,402.36,403.39,403.72,403.54,402.65,403.31,403.13,404.01,402.81,401.66,392.49,366.05,327.21,303.87,306.86,345.82,381.26,396.60,399.87,402.47,402.61,403.49,402.96,407.14,402.80,401.87,402.02,403.07,403.03,403.28,403.47,402.29,402.19,402.57,403.64,402.45,403.48,402.84,14.36,25.59,26.29,24.26,22.04,19.65,21.28,20.05,19.29,16.37,16.44,26.04,-1.14,0.15,0.22,0.28
15,12:18:19,11.000,190.61,101394,23.35,1050.31,1.191,-1988.99,-1237.75,-1360.41,-805.98,-690.84,-582.47,-502.38,-451.99,-407.93,-366.19,-320.88,-299.88,-267.82,-238.68,-203.91,-173.16,-142.74,-114.77,-88.56,-66.73,-47.90,-34.90,-21.76,-12.78,5.85,-1993.35,35.39,393.88,356.33,276.41,224.35,188.81,163.85,145.50,128.56,114.49,102.71,91.97,82.84,74.74,67.42,61.44,56.78,53.60,50.80,50.04,49.22,49.44,5.85,403.28,402.14,403.81,404.98,403.34,402.80,404.45,403.32,403.99,404.09,403.32,404.18,404.52,404.44,403.46,404.20,404.04,405.15,402.36,394.09,370.75,336.04,304.37,295.23,305.48,344.97,378.13,394.65,400.21,403.41,403.71,404.38,403.59,404.37,403.36,402.41,402.51,403.80,403.61,403.83,404.08,402.92,402.81,403.06,404.26,403.10,403.98,403.28,12.91,24.55,25.28,23.25,20.66,17.04,18.20,17.82,18.22,15.14,15.09,25.09,-2.32,0.08,0.17,0.19
16,12:18:41,12.000,188.51,101398,23.37,1049.94,1.191,-2235.56,-1516.99,-1092.44,-907.87,-727.68,-604.52,-514.71,-458.59,-409.75,-363.57,-315.86,-288.53,-253.90,-221.30,-186.15,-154.80,-125.45,-101.57,-79.97,-65.25,-54.57,-48.38,-42.98,-38.24,-18.35,-2239.35,-58.10,386.75,368.16,292.25,238.14,201.75,175.84,156.43,138.37,123.22,110.43,98.61,88.42,79.33,70.92,63.85,58.08,53.62,49.67,47.25,44.78,43.12,-18.35,403.75,402.85,404.28,405.49,403.91,403.52,404.89,403.74,404.36,404.61,403.74,404.47,405.04,404.95,403.46,404.51,404.60,405.65,403.58,399.71,386.23,361.10,326.54,299.35,285.47,302.37,333.31,364.05,386.26,399.60,403.00,404.17,403.89,404.50,403.60,402.99,402.99,404.06,403.95,404.17,404.45,403.20,403.04,403.48,404.54,403.31,404.43,403.88,14.52,26.11,27.03,25.08,22.69,16.44,19.80,15.70,18.95,17.16,16.94,26.67,-1.56,0.13,0.18,0.26
17,12:19:09,12.500,187.27,101397,23.40,1049.69,1.191,-2229.89,-1546.86,-1178.70,-901.72,-721.47,-595.70,-504.91,-445.58,-394.31,-346.50,-296.47,-266.73,-229.69,-195.95,-160.64,-132.84,-106.89,-91.63,-78.38,-72.08,-66.38,-63.48,-60.54,-57.76,-39.35,-2237.25,-78.94,380.92,368.25,294.40,240.19,203.86,177.75,158.07,139.58,124.04,110.78,98.32,87.87,78.23,69.25,61.59,55.03,49.86,44.80,41.54,37.95,34.69,-39.35,400.56,400.02,401.14,402.41,400.59,400.25,401.76,400.60,401.30,401.45,400.64,401.19,401.85,401.75,400.35,401.50,401.35,402.09,398.68,390.43,370.24,340.10,307.39,288.60,285.34,310.67,342.28,369.19,386.88,398.11,400.54,401.04,400.14,401.60,400.02,399.11,399.37,400.55,400.30,400.67,400.53,399.58,399.58,399.81,400.90,399.85,400.58,400.39,14.68,26.12,27.09,25.22,22.52,15.29,18.40,14.68,18.75,17.49,17.16,26.63,-1.37,0.10,0.19,0.23
